n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,0.35,0.15,0.2265,0.222,0.0515,,,100.5
2,O=C(O)C1CCCCC1C(=O)O,OCCOCCO,,,,,,0.5,0.5,,,,,,-3.0
2,O=C(O)CCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-23.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.08,0.42,0.1965,0.018,0.2855,,,29.5
5,O=C(O)CCCCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.075,0.26,0.165,0.38,0.12,,,41.1
2,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,77.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1454,0.3543,0.2149,0.0455,0.2399,,,31.0
5,O=C1OC(=O)C2CCCCC12,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,62.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.2,0.185,0.115,0.38,0.12,,,19.0
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.142,0.0985,0.018,0.2415,,,57.71
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.0705,0.4293,0.1934,0.0205,0.2864,,,37.17
