smiles,value,Unnamed: 2
CNc1ccc(Oc2ccc(N)s2)cc1,-6.14,
COC(=O)OCOC(=O)OCOC(=O)OCO,-5.97,
COCCCCONC(=O)OCCCCONC(=O)O,-5.44,
CNC(=S)OC(=S)NC(=S)OC(N)=S,-5.64,
CNC(F)(F)NC(F)(F)NC(F)(F)NC(N)(F)F,-5.31,
COC(F)(F)NC(F)(F)OC(F)(F)NC(O)(F)F,-5.29,
NOc1ccc(-c2ccc(NO)cc2)cc1,-6.21,
CC(=O)c1ccc(C(=O)c2ccc(C)s2)s1,-6.37,
CNOC(=O)NCC(=O)NC(=O)NOC(=O)NCC(=O)NC(N)=O,-6.11,
CNC(=O)OC(=O)NC(=O)OC(N)=O,-6.61,
COCNCOCNCOCNCO,-5.27,
CCc1ccc(-c2ccc(-c3ccc(C)s3)cc2)cc1,-6.19,
CC(=O)c1ccc(Oc2ccc(C)s2)s1,-6.22,
CC(=O)c1ccc(C(=S)c2ccc(C)s2)cc1,-6.31,
COc1ccc(C(=S)c2ccc(O)cc2)cc1,-6.28,
CCC(CC(CC(C)c1ccccn1)c1ccccn1)c1ccccn1,-5.99,
CCc1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.26,
CNC(=O)c1ccc(-c2ccc(N)cc2)s1,-6.33,
CCCCc1ccc(CCCc2ccc(C)s2)s1,-5.57,
CC(F)C(C)(F)F,-5.11,
CCc1ccc(C(=S)c2ccc(C)cc2)cc1,-6.17,
Cc1ccc2oc(-c3ccc4nc(C)oc4c3)nc2c1,-6.81,
CNC(=O)Nc1ccc(NC(=O)Nc2ccc(N)s2)s1,-6.15,
CCC(=O)CC(=O)CC(=O)CC(C)=O,-5.95,
Cc1ccc(C(F)(F)c2ccc(C(C)(F)F)cc2)cc1,-6.06,
CNOCCNOCCNOCCN,-5.12,
CCNc1ccc(-c2ccc(C)s2)cc1,-6.05,
CCCNC(=S)CCNC(=S)CCNC(C)=S,-5.36,
CNc1ccc(-c2ccc(C(N)=S)cc2)s1,-6.15,
CNc1ccc(C(=O)c2ccc(N)s2)s1,-6.18,
CCC(=S)c1ccc(C(=S)CC(=S)c2ccc(C(C)=S)cc2)cc1,-5.91,
CCNc1ccc(C(=O)CNc2ccc(C(C)=O)cc2)cc1,-6.14,
CC(=O)C(=S)OC(=S)C(=O)C(=S)OC(C)=S,-5.98,
COC(=O)C(F)(F)C(F)(F)OC(=O)C(F)(F)C(O)(F)F,-5.64,
CC(=O)NC(F)(F)C(F)(F)C(=O)NC(F)(F)C(C)(F)F,-5.65,
COCC(=O)COCC(=O)COCC(=O)CO,-5.62,
CCCc1ccc(-c2ccc(C)s2)cc1,-5.98,
COc1ccc(-c2ccc(-c3ccc(O)s3)s2)s1,-6.12,
CCNC(=S)c1ccc(CNC(=S)c2ccc(C)cc2)cc1,-5.96,
COc1ccc(Oc2ccc(O)s2)s1,-6.02,
COCOCNC(=O)NCOCOCNC(=O)NCO,-5.58,
CNc1cccc(C(N)=O)c1,-6.41,
COC1C(CO)OC(O)C(O)C1O,-5.48,
CCNc1ccc(C(=S)CNc2ccc(C(C)=S)s2)s1,-5.78,
CC(N)COCC(C)OCCOCCOCC(C)N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(C)C4=O)cc2C1=O,-5.89,
CNC(=O)c1ccc(C(=S)NC(=O)c2ccc(C(N)=S)s2)s1,-6.14,
CC(=S)NC(F)(F)C(F)(F)C(=S)NC(F)(F)C(C)(F)F,-5.29,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.42,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.31,
COC(=S)c1ccc(COC(=S)c2ccc(CO)s2)s1,-5.82,
CC(=S)C(=O)C(F)(F)C(F)(F)C(=S)C(=O)C(F)(F)C(C)(F)F,-5.51,
CCc1ccc(CO)cc1Cc1ccc(CO)cc1C,-5.89,
